id,kind,order,file_it,file_en,status,cosa_scattare
hero-ipad,single,,IMG_6003.PNG,IMG_6003.PNG,OK,"iPad/tablet: dashboard Trainer (home/gruppi/schede) a schermo pieno — hero principale"
hero-iphone,single,,IMG_3682.png,IMG_3682.png,OK,"iPhone: home atleta o lista schede — overlay secondario sotto l'iPad nell'hero"
hero-watch,single,,watch_workout_superset_dropset.png,watch_workout_superset_dropset.png,OK,"Apple Watch: workout in corso con super/drop set — overlay Watch nell'hero"
pro-ipad,single,,IMG_5005.PNG,IMG_5005.PNG,OK,"iPad: enciclopedia/dettaglio esercizi o CRM grande — sezione Dashboard PT"
share-pdf,single,,IMG_SHARE_3.PNG,IMG_SHARE_3.PNG,OK,"iPad/iPhone: anteprima PDF scheda esportata (branding visibile)"
share-wa,single,,IMG_SHARE_2.PNG,IMG_SHARE_2.PNG,OK,"Schermata condivisione WhatsApp / share sheet della scheda"
share-menu,single,,IMG_SHARE_1.PNG,IMG_SHARE_1.PNG,OK,"Menu esportazione MOVE (PDF / immagini / dati) — card centrale condivisione"
assign-bulk,single,,IMG_5010.PNG,IMG_5010.PNG,OK,"iPhone/iPad: modal Assegna a… con multi-select atleti e schede selezionate"
templates-bulk,single,,IMG_6010.PNG,IMG_6010.PNG,OK,"iPhone/iPad: Gestione schede multi-select (archivia/elimina / per atleta)"
brand-pdf,single,,IMG_5001.PNG,IMG_5001.PNG,OK,"iPhone: anteprima PDF brandizzato con logo studio in intestazione"
ai-catalog,single,,IMG_3750.png,IMG_3750.png,OK,"iPhone: Seleziona esercizi con filtri (muscolo/categoria/attrezzo) e multi-check"
ai-wizard,single,,TODO_ai_wizard.png,TODO_ai_wizard.png,DA_PRODURRE,"iPhone: schermata AI Wizard — prompt obiettivo/livello + anteprima scheda generata (IT e EN)"
ai-photo-import,single,,TODO_ai_photo_import.png,TODO_ai_photo_import.png,DA_PRODURRE,"iPhone: flusso Import da foto — camera/crop + risultato scheda da verificare"
circuit-iphone,single,,IMG_4001.PNG,IMG_4001.PNG,OK,"iPhone: gestione/visualizzazione circuito o macro-blocco in editor/runner"
circuit-editor,single,,TODO_circuit_macroblock.png,TODO_circuit_macroblock.png,DA_PRODURRE,"iPhone: editor Macro-Blocco/Circuito con giri, lista esercizi nel blocco e macro-recupero"
circuit-autoadvance,single,,TODO_circuit_autoadvance.png,TODO_circuit_autoadvance.png,DA_PRODURRE,"iPhone: setup esercizio con toggle Auto-advance dopo recupero ben visibile"
circuit-watch-active,single,,TODO_circuit_watch_active.png,TODO_circuit_watch_active.png,DA_PRODURRE,"Apple Watch: esercizio ATTIVO in circuito (reps/timer) + prossimo esercizio in basso"
